condition,drugName,avg_rating,review_count
0</span> users found this comment helpful.,Aricept,2.0,1
0</span> users found this comment helpful.,Atripla,8.0,1
0</span> users found this comment helpful.,Aviane,4.0,2
0</span> users found this comment helpful.,Bepreve,3.0,1
0</span> users found this comment helpful.,Blisovi Fe 1 / 20,2.0,1
0</span> users found this comment helpful.,Chantix,8.5,2
0</span> users found this comment helpful.,Contrave,1.0,1
0</span> users found this comment helpful.,Cryselle,4.0,1
0</span> users found this comment helpful.,Depo-Provera,7.857142857142857,7
0</span> users found this comment helpful.,Drysol,10.0,2
0</span> users found this comment helpful.,Gadavist,1.0,1
0</span> users found this comment helpful.,GoLYTELY,8.0,1
0</span> users found this comment helpful.,Hypercare,9.666666666666666,3
0</span> users found this comment helpful.,Implanon,7.4,5
0</span> users found this comment helpful.,Jolessa,6.0,1
0</span> users found this comment helpful.,Lexapro,8.0,1
0</span> users found this comment helpful.,LoSeasonique,6.0,1
0</span> users found this comment helpful.,Loestrin 24 Fe,6.380952380952381,21
0</span> users found this comment helpful.,Loestrin Fe 1 / 20,2.5,2
0</span> users found this comment helpful.,Microgestin Fe 1 / 20,5.333333333333333,3
0</span> users found this comment helpful.,Mirena,6.142857142857143,7
0</span> users found this comment helpful.,Nortrel 1 / 35,2.0,1
0</span> users found this comment helpful.,NuvaRing,4.0,1
0</span> users found this comment helpful.,Ocella,9.0,1
0</span> users found this comment helpful.,Ogestrel-28,10.0,1
0</span> users found this comment helpful.,Ortho Tri-Cyclen Lo,7.666666666666667,3
0</span> users found this comment helpful.,Ortho-Cept,7.0,1
0</span> users found this comment helpful.,Portia,2.0,1
0</span> users found this comment helpful.,Previfem,1.0,1
0</span> users found this comment helpful.,Relpax,10.0,1
0</span> users found this comment helpful.,Rezira,9.0,1
0</span> users found this comment helpful.,Safyral,2.0,1
0</span> users found this comment helpful.,Seasonique,4.0,3
0</span> users found this comment helpful.,Sprintec,5.2,5
0</span> users found this comment helpful.,Stribild,10.0,1
0</span> users found this comment helpful.,Suboxone,10.0,1
0</span> users found this comment helpful.,Treximet,8.0,1
0</span> users found this comment helpful.,Tri-Sprintec,3.6,10
0</span> users found this comment helpful.,TriNessa,3.5,2
0</span> users found this comment helpful.,Xyzal,9.0,1
0</span> users found this comment helpful.,Yaz,1.0,1
0</span> users found this comment helpful.,femhrt,1.0,1
10</span> users found this comment helpful.,Adderall,6.0,1
10</span> users found this comment helpful.,Adderall XR,8.0,1
10</span> users found this comment helpful.,Advair Diskus,7.0,1
10</span> users found this comment helpful.,Allegra-D 24 Hour,9.0,1
10</span> users found this comment helpful.,Ambien,9.0,1
10</span> users found this comment helpful.,Amitiza,3.0,1
10</span> users found this comment helpful.,Amnesteem,9.0,1
10</span> users found this comment helpful.,Astelin,10.0,1
10</span> users found this comment helpful.,Benicar HCT,9.0,1
10</span> users found this comment helpful.,Beyaz,3.0,1
