condition,drugName,avg_rating,review_count
0</span> users found this comment helpful.,Aricept,2.0,2
0</span> users found this comment helpful.,Atripla,8.0,2
0</span> users found this comment helpful.,Aviane,5.0,6
0</span> users found this comment helpful.,Bepreve,3.0,2
0</span> users found this comment helpful.,Blisovi Fe 1 / 20,2.0,2
0</span> users found this comment helpful.,Chantix,6.0,6
0</span> users found this comment helpful.,Contrave,1.0,2
0</span> users found this comment helpful.,Cryselle,4.0,2
0</span> users found this comment helpful.,Depo-Provera,7.875,16
0</span> users found this comment helpful.,Drysol,9.666666666666666,6
0</span> users found this comment helpful.,Gadavist,1.0,2
0</span> users found this comment helpful.,Gianvi,1.0,2
0</span> users found this comment helpful.,GoLYTELY,8.0,2
0</span> users found this comment helpful.,Hypercare,9.666666666666666,6
0</span> users found this comment helpful.,Implanon,7.428571428571429,14
0</span> users found this comment helpful.,Jolessa,6.0,2
0</span> users found this comment helpful.,Lexapro,8.0,2
0</span> users found this comment helpful.,LoSeasonique,6.0,2
0</span> users found this comment helpful.,Loestrin 24 Fe,6.375,48
0</span> users found this comment helpful.,Loestrin Fe 1 / 20,2.5,4
0</span> users found this comment helpful.,Lutera,10.0,2
0</span> users found this comment helpful.,Microgestin Fe 1 / 20,6.4,10
0</span> users found this comment helpful.,Mirena,6.142857142857143,14
0</span> users found this comment helpful.,Nexplanon,5.0,2
0</span> users found this comment helpful.,Nortrel 1 / 35,2.0,2
0</span> users found this comment helpful.,NuvaRing,4.0,2
0</span> users found this comment helpful.,Ocella,9.0,2
0</span> users found this comment helpful.,Ogestrel-28,10.0,2
0</span> users found this comment helpful.,Ortho Tri-Cyclen Lo,7.666666666666667,6
0</span> users found this comment helpful.,Ortho-Cept,7.0,2
0</span> users found this comment helpful.,Portia,2.0,2
0</span> users found this comment helpful.,Previfem,1.0,2
0</span> users found this comment helpful.,Relpax,10.0,2
0</span> users found this comment helpful.,Remicade,10.0,2
0</span> users found this comment helpful.,Rezira,9.0,2
0</span> users found this comment helpful.,Safyral,2.0,2
0</span> users found this comment helpful.,Seasonique,4.0,6
0</span> users found this comment helpful.,Sprintec,5.5,16
0</span> users found this comment helpful.,Stribild,10.0,2
0</span> users found this comment helpful.,Suboxone,10.0,4
0</span> users found this comment helpful.,Testim,9.0,2
0</span> users found this comment helpful.,Treximet,9.0,4
0</span> users found this comment helpful.,Tri-Sprintec,3.8333333333333335,24
0</span> users found this comment helpful.,TriNessa,3.5,4
0</span> users found this comment helpful.,Xyzal,9.0,2
0</span> users found this comment helpful.,Yaz,3.0,4
0</span> users found this comment helpful.,femhrt,1.0,2
100</span> users found this comment helpful.,Estrace Vaginal Cream,7.0,2
105</span> users found this comment helpful.,Viagra,10.0,2
10</span> users found this comment helpful.,Adderall,6.0,2
10</span> users found this comment helpful.,Adderall XR,8.0,2
10</span> users found this comment helpful.,Advair Diskus,7.0,2
10</span> users found this comment helpful.,Allegra-D 24 Hour,9.0,2
10</span> users found this comment helpful.,Ambien,9.0,2
10</span> users found this comment helpful.,Amitiza,3.0,2
10</span> users found this comment helpful.,Amnesteem,9.0,2
10</span> users found this comment helpful.,Astelin,10.0,2
10</span> users found this comment helpful.,Benicar HCT,9.0,2
10</span> users found this comment helpful.,Beyaz,3.0,2
10</span> users found this comment helpful.,Biafine,10.0,2
10</span> users found this comment helpful.,Bontril Slow Release,1.0,2
10</span> users found this comment helpful.,Effexor XR,10.0,2
10</span> users found this comment helpful.,Fleet Enema,10.0,2
10</span> users found this comment helpful.,Flonase,9.0,2
10</span> users found this comment helpful.,Junel Fe 1 / 20,4.0,2
10</span> users found this comment helpful.,Levitra,8.0,2
10</span> users found this comment helpful.,Limbrel,9.0,2
10</span> users found this comment helpful.,Loestrin 24 Fe,9.0,2
10</span> users found this comment helpful.,Lunesta,2.0,2
10</span> users found this comment helpful.,MoviPrep,7.0,2
10</span> users found this comment helpful.,Mucinex,9.0,2
10</span> users found this comment helpful.,Navane,10.0,2
10</span> users found this comment helpful.,Ornex,10.0,2
10</span> users found this comment helpful.,Ortho Micronor,6.0,2
10</span> users found this comment helpful.,Ortho Tri-Cyclen Lo,6.0,2
10</span> users found this comment helpful.,Orthovisc,9.0,2
10</span> users found this comment helpful.,Prozac,9.0,2
10</span> users found this comment helpful.,Roxicet,10.0,2
10</span> users found this comment helpful.,Safyral,2.0,2
10</span> users found this comment helpful.,Saphris,5.0,2
10</span> users found this comment helpful.,Seroquel,7.0,2
10</span> users found this comment helpful.,Tradjenta,2.0,2
10</span> users found this comment helpful.,Tri-Sprintec,4.0,2
10</span> users found this comment helpful.,Ultram,3.0,2
10</span> users found this comment helpful.,Viibryd,4.0,2
10</span> users found this comment helpful.,Yasmin,9.0,2
10</span> users found this comment helpful.,Zegerid,10.0,2
110</span> users found this comment helpful.,Plavix,9.0,2
11</span> users found this comment helpful.,Estradiol Patch,9.0,2
11</span> users found this comment helpful.,Finacea,10.0,2
11</span> users found this comment helpful.,Levaquin,1.0,2
11</span> users found this comment helpful.,Lexapro,10.0,2
11</span> users found this comment helpful.,Methadone Diskets,10.0,2
11</span> users found this comment helpful.,Norco,9.0,2
11</span> users found this comment helpful.,Plan B,10.0,2
11</span> users found this comment helpful.,Protonix,10.0,2
11</span> users found this comment helpful.,Provigil,8.0,2
11</span> users found this comment helpful.,Saphris,9.0,2
11</span> users found this comment helpful.,Triple Antibiotic,7.0,2
11</span> users found this comment helpful.,Veramyst,10.0,2
11</span> users found this comment helpful.,Wellbutrin,3.0,2
11</span> users found this comment helpful.,Xanax XR,2.0,2
121</span> users found this comment helpful.,Plavix,6.0,2
123</span> users found this comment helpful.,BuSpar,10.0,2
12</span> users found this comment helpful.,Adderall,6.0,2
12</span> users found this comment helpful.,Aldactone,10.0,2
12</span> users found this comment helpful.,Ambien CR,6.0,2
12</span> users found this comment helpful.,Amitiza,9.0,2
12</span> users found this comment helpful.,Celexa,7.0,2
12</span> users found this comment helpful.,CellCept,9.0,2
12</span> users found this comment helpful.,Depo-Provera,7.0,2
12</span> users found this comment helpful.,Drixoral Cold and Allergy,10.0,4
12</span> users found this comment helpful.,Dulcolax,7.0,2
12</span> users found this comment helpful.,Enulose,10.0,2
12</span> users found this comment helpful.,Fanapt,5.0,2
12</span> users found this comment helpful.,Generess Fe,4.0,2
12</span> users found this comment helpful.,Halcion,8.0,2
12</span> users found this comment helpful.,Jolessa,1.0,2
12</span> users found this comment helpful.,Junel Fe 1 / 20,3.0,2
12</span> users found this comment helpful.,Klonopin,5.0,2
12</span> users found this comment helpful.,Microgestin Fe 1 / 20,9.0,2
12</span> users found this comment helpful.,Mucinex,7.0,2
12</span> users found this comment helpful.,Nasonex,8.0,2
12</span> users found this comment helpful.,Orapred,7.0,2
12</span> users found this comment helpful.,Pepcid AC Chewable Tablets,9.0,2
12</span> users found this comment helpful.,Toradol,9.0,2
12</span> users found this comment helpful.,Ultram,8.0,2
12</span> users found this comment helpful.,Wellbutrin,9.0,2
12</span> users found this comment helpful.,Zovirax Cream,9.0,2
12</span> users found this comment helpful.,Zyprexa,9.0,2
135</span> users found this comment helpful.,Xenical,7.0,2
13</span> users found this comment helpful.,Accutane,10.0,2
13</span> users found this comment helpful.,Adderall XR,10.0,2
13</span> users found this comment helpful.,AndroGel,10.0,2
13</span> users found this comment helpful.,Axiron,3.0,2
13</span> users found this comment helpful.,Beyaz,2.0,2
13</span> users found this comment helpful.,Camila,4.0,2
13</span> users found this comment helpful.,Celebrex,10.0,2
13</span> users found this comment helpful.,Cialis,8.0,2
13</span> users found this comment helpful.,Darvocet-N 50,8.0,2
13</span> users found this comment helpful.,Deplin,6.0,2
13</span> users found this comment helpful.,Dilaudid,10.0,4
13</span> users found this comment helpful.,Duexis,1.0,2
13</span> users found this comment helpful.,Elmiron,10.0,2
13</span> users found this comment helpful.,Junel Fe 1 / 20,5.5,4
13</span> users found this comment helpful.,Keppra,7.0,4
13</span> users found this comment helpful.,Lyrica,10.0,2
13</span> users found this comment helpful.,Nora-Be,8.0,2
13</span> users found this comment helpful.,Omnaris,8.0,2
13</span> users found this comment helpful.,Ortho Tri-Cyclen Lo,3.0,2
13</span> users found this comment helpful.,Sronyx,9.0,2
13</span> users found this comment helpful.,Synvisc,9.0,2
13</span> users found this comment helpful.,Thorazine,10.0,2
13</span> users found this comment helpful.,Valium,9.0,2
142</span> users found this comment helpful.,Adderall,10.0,2
142</span> users found this comment helpful.,Alli,9.0,2
145</span> users found this comment helpful.,Flexeril,10.0,2
146</span> users found this comment helpful.,Efudex,10.0,2
14</span> users found this comment helpful.,Adderall,10.0,2
14</span> users found this comment helpful.,Ambien CR,9.0,2
14</span> users found this comment helpful.,Benicar,9.0,2
14</span> users found this comment helpful.,Contrave,1.0,2
14</span> users found this comment helpful.,Hair Regrowth Treatment for Women,1.0,2
14</span> users found this comment helpful.,Intuniv,10.0,2
14</span> users found this comment helpful.,Linzess,6.0,2
14</span> users found this comment helpful.,Parnate,9.0,2
14</span> users found this comment helpful.,Pepcid,8.0,2
14</span> users found this comment helpful.,Protonix,10.0,2
14</span> users found this comment helpful.,Reclipsen,1.0,2
14</span> users found this comment helpful.,Revlimid,10.0,2
14</span> users found this comment helpful.,Silenor,3.0,2
14</span> users found this comment helpful.,Versed,1.0,2
14</span> users found this comment helpful.,Viibryd,8.0,2
14</span> users found this comment helpful.,Vimovo,1.0,2
14</span> users found this comment helpful.,Yasmin,1.0,2
14</span> users found this comment helpful.,Yaz,7.0,2
15</span> users found this comment helpful.,Adderall,9.0,2
15</span> users found this comment helpful.,Aviane,10.0,2
15</span> users found this comment helpful.,Azo-Standard,7.0,2
15</span> users found this comment helpful.,Contrave,6.0,2
15</span> users found this comment helpful.,Cryselle,10.0,2
15</span> users found this comment helpful.,Depo-Provera,6.0,4
15</span> users found this comment helpful.,Dymista,10.0,2
15</span> users found this comment helpful.,Fiorinal with Codeine,9.0,2
15</span> users found this comment helpful.,Flexeril,1.0,2
15</span> users found this comment helpful.,Flomax,7.0,2
15</span> users found this comment helpful.,Librium,5.0,2
